"Name","Country","Category","Website","CEO","LinkedIn","Twitter","description"
"Crowdcoin"," South Africa"," Payments & Transfers"," crowdcoin.co.za"," Kearabiloe Ledwaba",""," kearabiloe","Crowdcoin \n \n        Mobile money in South Africa comes in different Flavors. The sophisticated sort, exemplified by services such as CROWDCOIN, lets prepaid and top-up subscribers exchange airtime for cash, send/receive money and make purchases using airtime by entering commands on a mobile phone in South Africa.This sort uses pre-paid mobile airtime minutes as a de facto currency that can be transferred between phones and exchanged for cash with Crowdcoin’s help to trade airtime for cash.With the advancement in рауmеntѕ tоdау, we have соmе a long, long wау from the еаrlу dауѕ of the Sumеrіаn coins. However, we nееd to раuѕе and lооk around, for there іѕ an economy wе are mоѕtlу іgnоrіng: The есоnоmу оf mісrо-рауmеntѕ! I am sure you are asking WHY? Is there a nееd for mісrо-рауmеntѕ?Wеll for ѕtаrtеrѕ, micropayments аrе thе undiscovered continent. Because thеу were undiscovered, thеіr uѕаgе and place in ѕосіеtу wаѕ unknown to us (not to mention, tесhnоlоgу, еѕресіаllу the internet іѕ рrіmаrіlу going to be rеѕроnѕіblе for the micropayment есоnоmу). If mісrорауmеntѕ become a rеаlіtу (which thеу will), suddenly, we will have a very large есоѕуѕtеm of рауmеntѕ. What is Crowdcoin Offering?\n- Brings to you a platform where you can monetize your airtime for physical cash.\n- Under the platform, you could trade your airtime for cash which will be transferred to your designated bank account of choice within a few minutes of acknowledged airtime from you to us.\n- For this airtime to physical cash monetization, you will be charged from as little as 10% fee per airtime-to-cash conversion e.g. a R5.00 purchase will cost you an extra 50 cents when paying with airtime.\n- You can transfer money to anywhere in South Africa through Crowdcoin’s platform for goods and services.\n\nIn short Crowdcoin works much the same like a traditional bank account, once you deposit funds into your account you can then use the available balance to make payments and purchases.\n        "
"Crowd Valley"," United States"," Lending & Financing"," https://www.crowdvalley.com/"," Markus Lampinen","","","Crowd Valley \n \n        Crowd Valley is a digital back-office provider for financial applications. We are a finance technology company focused on the online investing and lending infrastructure. A structure that enables online investing and lending applications with Digital Back Office and an open API, nowadays supported over 100 clients in the market, and over 70 integrated service partners. Setting up and launching a full online finance marketplace or even moving some of your firm's existing manual operations online can take many months from the initial scoping and planning process through to full launch. Platforms that run on top of the Crowd Valley API can be extremely complex, as they need to take into account user behaviors, operational business requirements, compliance, securities regulations, and many other factors. However, many customers also have short-term needs to set up a 'minimum viable product' that can demonstrate the basic functionality of a finance platform to their initial stakeholders, such as investors, regulators, or early customers. With this second group in mind, Crowd Valley has launched a series of Starter Applications, which are designed to be downloaded and installed in minutes. Whatever is your need when modernizing your financing processes, Crowd Valley's experienced team can help you with our knowledge and tools to do it!\n        "
"CubeBucks"," South Africa"," Blockchain & Bitcoin"," http://cubebucks.com/"," Jan Mackay",""," @Cubebucks","CubeBucks \n \n        People need banking, not banks. With the world of Digital currency in its infancy and exposed to a highly volatile market with radical value fluctuations this system seem far removed from every day use by most people. The reality is that people need exchange security between the value of their dollar income from sales and the digital currency they accept. This is a feature that is missing at the moment in the market. Cubebucks As a seed startup aim to offer the stability of exchange between the US $ and digital currency by applying an application layer to the block chain protocol. The block chain and all digital payments are in need of a middel ware to facilitate easy access and transferability between them. By having a middelware value system linked to physical resource any value system and trade mechanism can be accommodated on the innovative model presented by the Cubebucks virtual currency system. When you convert your asset to qb, you are assured that the value loaded or received today has the same value when you wish to trade;\n\nCubebucks is a virtual currency developed on block chain technology that fixes the value of the digital currency called qb to value in your local market against the price fix of AU Gold on the Londen Metal Exchange against the US $; Cubebucks will maintain a balance of accounts in a combination of bank currencies, #Bitcoin and gold reserve, that will secure the exchange ability of Cubebucks for Bitcoin (BTC) or Vanilla currency value. The currency reserve security will be held in trust structured safekeeping structures. A ratio of vanilla cash and BTC will be maintained to service daily demands and fund transfer transactions.Cubebucks developed their Crypto currency ledger using PBFT algorithm developed at MIT. The algorithm is the core foundation of the system combined with the Bitcoin proof of work authentication method.\n        "
"Curve"," South Africa"," Innovative Banking"," http://www.curvebank.com/"," Frederico Baumhardt","https://www.linkedin.com/in/fredbaumhardt"," @fredbaumhardt","Curve \n \n        Curve is a replacement for your conventional Bank Account for small business, entrepreneurs, students, individuals, families, and friends. Curve is free, and you get a card like you do from your old Bank. You can deposit and spend your money anywhere in the world that accepts the main card issuers. You can use ATMs to access your money, and you use the revolutionary Curve App to power a new world of services you never thought possible. Our ethos is everything has to be able to be done in 30 seconds or less, and that you never again apply for a financial service and get declined. With Curve, you only see what you qualify for, and we'll work with you every step of the way to improve your financial health every day. What Makes Curve a Bend the model ?\nCurve allows you to make secure payments in an online economy to buy online with us looking after the tough bit of ensuring both sides are happy - the buyer and the seller. Curve allows you to check someone has actually paid you what they said they did, and hold it for you until you deliver the goods.Curve lets you send a message to anyone in the world and have them send you money that hits your account in seconds with any major credit card. Your family, your friends, your colleagues, your clients, can all curve you some cash in seconds. Anyone in the world can be a curve partner, and you can take credit card payments immediately when you open a curve account. You can be a big business, or on your way to getting there with your first day of a new venture. You can be a single person starting out, or you can be an established small business, curve will help. Curve will help you with tools for payroll, and your employees can get paid into their curve accounts in seconds, and can interact with company financial tools that you decide (like expenses, company cards, and salaries).Curve lets you or your business send money across borders, comply with the rules, but get the money to those you love, or suppliers in seconds. 24 hours a day, every day of the year.As an individual, Curve helps you set goals and budgets, and will help you keep to them, we'll even let you set your own budgets, and determine if you want us to help you keep to them, or let it slide.Curve will help parents keep track of their kids's or student spending, and be able to step in to help the family make great decisions. Curve will also help those that are re-building their credit and personal finance records to get back on track, sharing their insight with counselors. Curve wants to help you to not use cash anymore, we want to make digital money easy to use, always online, always safe, and we want to put you in control. Curve is a company that exists to re-think financial services - and we need to listen to the 21st century to do this. We hope you'll join us, and we look forward to listening to you.\n        "
"DCBEgypt"," Egypt"," Payments & Transfers"," www.dcbegypt.com"," Mostafa Elshafey","","","DCBEgypt \n \n        DCBEgypt is a licensed Direct Carrier Billing service provider intending to deliver the best digital/online shopping experience to internet & mobile Users, Merchants and Partners. Our slogan is ""Payments On The Go"", simplifying the process of online/digital payments for users and merchants to create a better user experience and to maximize the merchant's revenue through strategically developed easy to integrate payment method, hence, increasing the average revenue per user significantly, attract new customers, realize a broader reach and enhance the user experience.\n        "
"Direct Pay Online"," Kenya"," Payments & Transfers"," www.directpay.online"," Eran Feinstein","https://www.linkedin.com/in/eran-feinstein-3605a51"," @DirectPayOnline","Direct Pay Online \n \n        Direct Pay Online is the home of online payments, we believe in the FREEDOM to pay and be paid from Anywhere and Anytime. We fill the gap between you the merchant and your end customers.\n      \n        "
"Dopay"," United Kingdom"," Payments & Transfers"," www.dopay.com"," Frans van Eersel",""," @dopayHQ","Dopay \n \n        Worldwide there are 2 billion people that have a job, but no bank account. In a country like Egypt for instance, 90% of the population is unbanked. dopay caters for employees in emerging markets who lack bank accounts and hence transact solely in cash. dopay gives these employees access to financial services through their employer. The company provides a cloud-based payroll and cash management service that allows employers to calculate the net salary and pay all employees electronically. Those employees that are unbanked receive a dopay card. This card can be used in much the same way as a normal debit card. Through a mobile app, a full banking experience is provided to people that were previously unbanked. Dopay has launched is services in Egypt and opened an office in Ghana two months ago. The company has global ambitions.Earlier this year, dopay was part of the first cohort of the Barclays Accelerator programme in London, which was powered by Techstars, the world’s largest accelerator company.\n \n        "
"DusuPay"," United Kingdom"," Payments & Transfers"," www.dusupay.com"," Ntende Kenneth","https://www.linkedin.com/in/ntendekenneth?authType=NAME_SEARCH&authToken=7CJt&locale=en_US&srchid=4553804831466169604235&srchindex=2&srchtotal=4&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A4553804831466169604235%2CVSRPtargetId%3A192613928%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3ANAME_SEARCH"," @dusupay","DusuPay \n \n        DusuPay loves the internet so we are building infrastructure to help businesses accept payments over the internet. We understand that the businesses we love needs to keep making money to keep providing the services we love so we work with businesses to help them accept payments through our API's Directly on there websites.\n\nWe enable Internet businesses accept payments from their clients anywhere in the world using the methods thier clients love to pay with. So whether your client is in China, Denmark, Zambia, Kenya, Brazil or anywhere else in the world, Dusupay can process the payment and get the funds to any bank account or mobile money wallet.Global businesses need to understand that barely 10% of Africa use cards. Telecom networks have become the major providers of financial services through Mobile money networks like Safaricoms MPESA, MTN mobile money, Airtel money. The issue with them is they are so many and for you to work with them, you must have an entity in the country of operationDusupay's value proposition is; we know you need to accept payments from your clients from the continent. Since we have done most of the ground work integrating with most of the mobile money networks, it would make more sense to work with us as a partner rather than each of the over 60 telecoms providing mobile money all over the continent. We work with businesses all over the world and deliver funds to any validated bank account globally\n        "
"Eagle Global Markets"," Nigeria"," InvestTech"," www.eagleglobalmarkets.com"," Gbite Oduneye","https://www.linkedin.com/in/gbiteoduneye/"," https://twitter.com/egmarkets","Eagle Global Markets \n \n        Eagle Global Markets (EGM) is a Pan African multi-asset derivative firm that allows our clients trade Global Markets in their local currency in real time on the web browser and on mobile devices (IOS and Android). We offer two platforms, the MT4 platform and our ground breaking innovative Cloudtrade Platform that enables clients trade with Naira. Our Cloudtrade platform eliminates all forex risk. Capital requirements, data costs and transparency are just a few of the many reasons why trading non-domestic products was difficult to trade in one’s local currency. EGM provides the opportunity for clients who previously had to face the hassles of operating a U.S. dollar-denominated account to access financial markets. To achieve this feat, the company took into consideration the most pressing needs of traders and investors and went ahead to build their proprietary platform called the CloudTrade. Eagle Global Markets not only makes trading global markets more accessible but we also address issues such as a local currency risk and having to contract with foreign entities. We established EGM as we want to educate and nurture our clients into confident self-directed traders who want the freedom our multi-asset, multi-device trading platform delivers. Together our trading can soar.\n        "
"Electronic Settlement Li..."," Nigeria"," Payments & Transfers"," www.eslgroup.it"," Olaoluwa Awojoodu",""," @paypad","Electronic Settlement Limited \n \n        For 7 years, Electronic Settlement Limited has been at the forefront of the FinTech revolution in Nigeria. In sectors as diverse as software development, financial and payment innovation, financial hardware optimisation, ESL has taken the lead. Identifying most challenging financial problems, and solving them. Founded in 2009 by Olaoluwa Awojoodu, the company has grown to establish itself as a torchbearer in finding innovative solutions to extant financial problems faced by MSMEs, Banks, Government, and Multinationals.\n        "
"Emerging Crowd"," United Kingdom"," Lending & Financing"," www.emergingcrowd.com"," Will Tindall",""," @emergingcrowd","Emerging Crowd \n \n        Emerging Crowd is the full-service investment crowdfunding platform focused on early and growth-stage companies in frontier and emerging markets. The platform gives retail, family office and institutional investors across Europe and elsewhere unprecedented direct access to equity and debt offerings by innovative and highly impactful companies in some of the world’s fastest growing economies. Offerings range in size up to €5 million and represent an important asset class in consumer-related sectors such as fintech, telecommunications, energy access, FMCG and leisure. Investee companies are carefully vetted by professional corporate finance and legal teams, and investors can rely on institutional-quality due diligence on every offering. The platform’s integrated investment and portfolio management services include a virtual data room, clear and transparent disclosure documents, a secure online wallet, and regular financial reporting from investee companies. With its bespoke state-of-the-art platform, international reach and class-leading approach to investor protection, Emerging Crowd has set a new standard in online funding portals. The business is headquartered in London and launched to the public in 2015.\n        "
"Esacco"," Kenya"," Lending & Financing"," https://www.esacco.org/"," David Murimi","https://www.linkedin.com/in/davidmurimi"," @EsaccoSoftware","Esacco \n \n        Esacco is a Cloud Microfinance & SACCO Software System engineered to comprehensively serve Microfinance Institutions, SACCOs, Community Banks, Credit Organizations, Chamas, Self Help Groups, and Banks, among other Financial Institutions. Esacco strive to empower others technologically in their quest for financial inclusion, serving and banking the unbanked population across the world. Esacco services are geared towards cutting down requirements while starting up or growing a microfinance institution. A decision to adopt Esacco frees up time to focus on other critical matters like marketing. Esacco enforces institutions’ policy of operations timely, allowing young Institutions to have mature and stable operational structures and capacity. Esacco also provides a framework for growth; any institution thinking of doubling their portfolio in loan processing, deposit and savings and other services must think Esacco. Esacco will provide the expected capacity without or with minimal stress on other resources such as human capital and finances.\n        "
"Ezmcom"," United States"," Innovative Banking"," www.ezmcom.com"," Pravat Mishra","https://www.linkedin.com/in/pravat-mishra-2b63824"," @ezmcom","Ezmcom \n \n        EZMCOM is a security access provider for innovative and easy-to-use technology that can be deployed to protect users, data, and applications from credential theft, account takeover and breaches. EZMCOM is working with companies worldwide to change the way we authenticate and authorize – across mobile devices, servers, workstations within enterprise and cloud services - using Risk based Mobile Fusion Biometric Authentication. With over 60 million end users protected on a delay basis, EZMCOM’s multilayer multi-factor identity protection solution profiles online identities, self learns, tunes itself, and converts existing username and passwords into very strong credentials. All of this is done seamlessly, in real time, transparent to end-user. The solution comprises of a multi-layer defense-in-depth stack of User Entity Behaviour Analytics (UEBA), Risk Based Authentication (RBA) and a comprehensive suite of strong authentication form factors comprising of Software & Hardware based OTP, eSignature Tokens, Software & Hardware PKI Tokens, Out-of-Band OTP Tokens over Text message | E-mail | Voice | Mobile Push notifications.\n        "
"FarmDrive"," Kenya"," Lending & Financing"," www.farmdrive.co.ke"," Peris Bosire & Rita Kimani","https://www.linkedin.com/in/perisbosire?authType=NAME_SEARCH&authToken=TRRY&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A241332638%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1464702136427%2Ctas%3APeris%20Bosire"," @farmdriveke","FarmDrive \n \n        FarmDrive is a Kenyan-based social enterprise that connects unbanked and underserved smallholder farmers to credit, while helping financial institutions cost effectively increase their agricultural loan portfolios. Using simple mobile phone technology, alternative data sets, and sophisticated data analytics, FarmDrive is closing the critical information gap that keeps smallholder farmers from loans that would allow them to grow and diversify their businesses.Problem \nPotentially creditworthy smallholder farmers are often denied loans because they lack the traditional credit profiles that lenders rely on to evaluate borrowers. Financial institutions do not have well-designed and operationally efficient methods of accurately assessing and managing smallholder farmers’ risk, making them reluctant to lend to farmers. Farmers are therefore left with little access to credit, and financial institutions with a hole in their client base and product line.Solution \nTo bridge this gap, FarmDrive is developing an innovative credit assessment model that provides detailed risk profiles on smallholder farmers to financial institutions. FarmDrive’s comprehensive algorithms generate credit profiles and tailor-made loan products for farmers based on the nature of their farming activities. Thus, when farmers apply for a loan using the mobile application, financial institutions are presented with pre-vetted clients and individualized loan products that are further de-risked with weather-index insurance. This solution will not only unlock millions of dollars of previously risk-averse capital for smallholder farmers, it will improve the livelihoods of entire communities, thereby alleviating poverty, hunger, and inequality. Since launching the platform in December 2015, over 2000 farmers have joined the platform, and FarmDrive disbursed 350 loans totaling over KES 12 million (USD 120,000). \n        "
"Fidelity Bank"," Nigeria"," Incumbent Banks"," https://www.fidelitybank.ng"," Nnamdi J. Okonkwo",""," @fidelitybankplc","Fidelity Bank \n \n        Fidelity Bank is today ranked amongst the top 10 in the Nigerian banking industry, with presence in the major cities and commercial centres of Nigeria. Over the years, the bank has been reputed for integrity and professionalism. It is also respected for the quality and stability of its management. Fidelity staff are also respected in the Nigerian banking industry for the quality of training they receive on the job, as well as in good business schools both in Nigeria and Overseas. The Management is particular about the quality of people that join the system. The Management is focused on building and maintaining a virile and well-respected brand that caters to the needs of its growingcorporate, commercial and consumer banking clientele.Our Vision\nTo be No. 1 in every market we serve and for every branded product we offer.Our Mission\nTo make financial services easy and accessible to our customers.Our Core Values\nC – Customer First\nR – Respect\nE – Excellence\nS – Shared Ambition\nT – Tenacity\n        "
"First Bank of Nigeria"," Nigeria"," Incumbent Banks"," https://www.firstbanknigeria.com/"," Adesola Kazeem Adeduntan","https://www.linkedin.com/in/adesola-adeduntan-157736"," @FirstBankngr","First Bank of Nigeria \n \n        At FirstBank, we recognise the immutable merits of maintaining a “You first” mindset and culture, as a critical component of our business strategy. Our brand has evolved over the years, with strengthened brand muscles to match the constantly evolving expectations of our customers.\n\nSince launching in 1894, FirstBank has established itself as a brand of strength and dynamism, with the vision to be the leading international banking group in Sub Saharan Africa. Our brand is at the heart of the holistic experience we seek to deliver to our stakeholders perpetually, which is essential to retaining patronage and the competitive edge that keeps us at the coveted position of the market leader.\n\nOur brand interacts with our stakeholders and demonstrates an understanding of their busy modern lives or businesses, to support their aspirations. Hence, we have evolved over 120 years by respecting and upholding the shared heritage relevant not only to today's modern Nigerians but also today's modern world.\n        "
"First City Monument Bank"," Nigeria"," Incumbent Banks"," http://www.fcmb.com/"," Ladi Balogun",""," @MyFCMB","First City Monument Bank \n \n        First City Monument Bank (FCMB) Plc is a full service banking group, headquartered in Lagos, Nigeria, with the vision ‘to be the premier financial services group of African origin’. From its early origins in investment banking as City Securities Limited in 1977, FCMB, established in 1982, has emerged as one of the leading financial services institutions in Nigeria and one of the top eight lenders in the country with subsidiaries that are market leaders in their respective segments.\n\nFCMB was incorporated as a private limited liability company on 20 April 1982 and granted a banking licence on 11 August 1983. On 15 July 2004, the Bank changed its status from a private limited liability company to a public limited liability company and was listed on the Nigerian Stock Exchange, by introduction, on 21 December 2004. Having successfully transformed to a retail and commercial banking-led group, the Bank expects to continue to distinguish itself by delivering exceptional service and taking its unique brand of supportive banking to every household in Nigeria.\n        "
"FriendsVow"," Nigeria"," Lending & Financing"," www.friendsvow.com"," Colyns Ehys","https://www.linkedin.com/in/colynsehys"," @FriendsVow","FriendsVow \n \n        Have you ever been in a Financial situation where you feel your bank is supposed to support you, but when you get to your bank or any financial institution you feel embarrassed when the answer they give you does not Justify why they cannot support you? Have you ever introduce a proposal for a project to friends, partners, Bankers and you are struck by the stress in not being able to get the project of the ground, or have you been told by a bank to run your account for 6 Months before your funding might be considered? in all this situation no one is at fault, this is just the way the system was set up, because no matter the value of your project, to provide jobs, save lives, change history, initial access to capital has always been a challenge since the beginning of time, but if you have been in this position, worry no more, we at Friendsvow have created a new model of financial credit, to enable anyone create a line of instant credit with no interest rate and with the power to decide the value of your own vow of credit. Are you an Entrepreneur who needs a short term funds to create a brilliant idea you just have? are you a new employee and you want to purchase a car, from your first month of employment? Are you looking to raise funds for your holiday? Honeymoon? Vacation? Weddings, Birthdays? Medical? Entertainment, Education, or any immediate credit that your Bank or your friends will not ordinarily, give you a credit for? Then friendsvow is for you?\n        "
"GeoPay"," South Africa"," Payments & Transfers"," http://geopay.co.za/"," Thabang Mashiloane","https://www.linkedin.com/in/thabang-mashiloane-07a0664a?authType=NAME_SEARCH&authToken=2tTJ&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A173321950%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1463473881543%2Ctas%3AThabang%20Mashiloane"," @GeoPayapp","GeoPay \n \n        Geopay is a peer to peer blockchain remittance platform for people living in the diaspora to transfer money across-border instantly cheaper, faster without any bitcoin knowledge necessary. This is done through a network agents in the informal settlement to cater for the unbanked population mainly in Africa. GeoPay charges very minimum cost of less than 3% per transaction allowing users to do micro transactions for the financially excluded population between countries for grocery items, education, health and sanitation\n\n- Instantly send money directly from the app to anyone in the world\n- Make instant payments to cross-border merchant\n- Withdraw cash from the app via any GeoTeller\n- Deposit cash to the app through an GeoTeller - or add with your debit card\n        "
"GetBiz"," South Africa"," Lending & Financing"," http://www.getbiz.co.za/"," Andile Ntingi","https://www.linkedin.com/in/andile-ntingi-12569924"," @getbiz_sa","GetBiz \n \n        GetBiz is a world-class, real-time tender notification service that connects tender issuers with suppliers. We also provide insightful, multi-media news content that helps our subscribers grow their businesses by helping them achieve substantial savings and find new business, no matter which sector of the economy they operate in.For tender issuers, we provide a swift, paperless, and transparent procurement environment that enables them to source goods and services at competitive prices from a wide network of suppliers.Our platform allows tender issuers to publicise their tender notices and documents while our online Tender Box facility enables them to receive bids and proposals from suppliers and service providers.On the other hand, tender seekers are able to take advantage of procurement opportunities through subscriber-based, real-time tender notifications geared to helping them grow their businesses.Our motto is act before the market moves. Our aim is to close the gap between tender issuers and tender seekers and to promote a competitive, equal access online procurement environment.By fast-tracking the procurement process, we enable businesses to get great work done swiftly and competitively. GetBiz is leading the way in the procurement revolution!\n        "
"Hello Paisa"," South Africa"," Payments & Transfers"," www.hellopaisa.co.za"," Ahmed Cassim MD","https://www.linkedin.com/in/ahmed-cassim-5946a013"," @myhellonation","Hello Paisa \n \n        The Hello Group has always had long standing relationships with migrant communities in South Africa, once again the migrants have spoken and we have answered in true Hello Fashion, they said that the cost of remitting funds back home was too expensive, takes too long and their was no legal channels available, so how exactly did we take one of the worlds most expensive remittance corridors and turn it on its head? by lobbying legislation, leveraging of best in class technology and only partnering with the worlds leading financial institutions we have developed Hello Paisa, a low cost International Money Transfer service that is accessible from your mobile phone in just a few simple taps, so there was Money transfer and now there is Hello Paisa.\n\n      \n        "
"Ice3X"," South Africa"," Blockchain & Bitcoin"," https://ice3x.co.za/"," Gareth Gobler","https://www.linkedin.com/in/gareth-grobler-a08a264"," @ice3x","Ice3X \n \n        Bitcoin is Internet Currency. As a currency, bitcoin does not suffer from the limitations of physical ""FIAT"" currency, and has greater flexibility and security, with the transaction cost far lower than similar solutions. Bitcoin is totally secure and the network has never been breached. The Bitcoin network was created in 2008 by Satoshi Nakamoto.Merchants can accept bitcoin with minimal investment in resources and benefit from exposure to new markets as well as a reduction in the transaction charges they pay with traditional payment methods.\n\nThe easiest and safest way to buy bitcoin in South Africa is through a registered bitcoin exchange. There are many risks when buying or selling bitcoin privately, which is why trusted exchanges are very popular. iceCUBED X have been providing customers with a safe and secure way to acquire bitcoins since 2013.iceCUBED X is your ideal trading partner to BUY or SELL bitcoin in South Africa. Account registration is quick and easy and our awesome support team are ready to assist you with any queries you may have.\n        "
"IkHokHa"," South Africa"," Payments & Transfers"," www.ikhokha.com"," Ramsay Daly",""," @iKhokhaSA","IkHokHa \n \n        iKhokha is a proudly South African MPOS solution that enables all South African SME's to accept debit and credit card payments anywhere, any time and on any device. And that’s not all - the iKhokha App allows business owners to track their sales performance through built in business analytics in real time. We've recently added the iKhokha XL to our product stable so if you are looking for a bigger, bolder device that needs to withstand a bit of abuse - then the XL is the product for you. Offering the best in market transaction fees and either a once off device payment charge or the option for a low monthly rental - iKhokha is dedicated to you, the entrepreneur, the innovator, the everyday hero. WHY CHOOSE IKHOKHA - Take card payments anywhere - Skip bank queues & be trading in 4-7 days - Track your sales in real time with our business analytics - Beat load shedding - Avoid chasing EFT's & eliminate bad debt - Upsell & Convert cashless customers\n        "
"Inuka Pap"," Kenya"," Lending & Financing"," www.inukapap.co.ke"," Waweru Kuria",""," @inukapap","Inuka Pap \n \n        iNuka Pap is a VAS proposition to SACCO members that enables them to access small amounts of cash advances as well other consumer services such as prepaid electricity, airtime, and insurance.iNuka Pap takes convenience to a new level and promises to address customer’s small cash emergencies anywhere and anytime.\n\nSACCO’s have been looking for more ways of providing easy access to loans for their members. As the number of registered SACCO’s continue to grow, SACCO’s are looking for new revenue streams outside of their traditional services.SACCO’s are uniquely positioned to do this because:\n- They have developed a philosophy of providing simple and relevant services to their customers\n- Through services such as the mobile wallet, SACCO’s are gathering more in depth data on their customers\n- With the iNuka Pap system, members enjoy the convenience in depositing and have access to these loans instantly.\n        "
"Inventure"," Kenya"," Lending & Financing"," www.inventure.com"," Shivani Siroya (global)","https://www.linkedin.com/in/shivanisiroya"," @InVenture","Inventure \n \n        Traditional credit doesn't work in emerging markets; mobile does. Our technologies are unlocking trillions of dollars in purchasing power in the world’s fastest growing economies. InVenture is a mobile technology and data science company that is flipping the traditional credit scoring model by putting power into the hands of newly empowered consumers in emerging markets. Through our mobile app and unique channel, we gather an average of 10,000 discrete data points per user to provide personalized offers and deliver real-time credit. Our Kenyan Android application for our lending product is #1 Finance App in Kenyan Google Play Store https://play.google.com/store/apps/details?id=com.inventureaccess.safarirahisi Our customer loves our product and use it over and over again. Read their reviews here: http://inventure.com/love\n        "
"Investec Bank"," South Africa"," Incumbent Banks"," https://www.investec.com/"," Bernard Kantor","https://www.linkedin.com/in/bernard-kantor-0a603711a"," @investec","Investec Bank \n \n        Investec is an international, specialist banking group and asset manager that provides a diverse range of financial products and services to a niche client base in three principal markets, the United Kingdom, South Africa and Australia, as well as certain other geographies.\n\nSince Investec was founded in South Africa in 1974, it has expanded through a combination of substantial organic growth and a series of strategic acquisitions in South Africa, the United Kingdom and other geographies.\n\nInvestec’s strategic goals are motivated by the desire to develop an efficient and integrated business on an international scale through the active pursuit of clearly established core competencies in the group’s principal business areas.\n\nThe group’s philosophy has been to build well-defined, value-added businesses focusing on serving the needs of select market niches where the group can compete effectively. The group employs approximately 6000 people world-wide.\n\nIn July 2002 Investec became the first South African group to list in London and Johannesburg by implementing a Dual Listed Companies (DLC) structure. The London listing benefits the group by increasing its global profile, enhancing its capital raising ability and improving access to international capital markets.\n        "
"InvoiceExchange"," South Africa"," Lending & Financing"," http://196.37.195.100:98/Home.aspx"," Tito Mbatha","https://www.linkedin.com/in/tito-mbatha-6b304616"," @invoiceXchange","InvoiceExchange \n \n        The Invoice Exchange (IX) is a web based company that supports and enables small and medium-sized businesses (SMB's) that supply blue chip companies and government to sell their invoices and finance their purchase orders on an exchange to attain immediate payment. We are the market place for invoices and purchase orders. We provide a way by which financial institutions (Investors) can earn prime plus interest rates for highly rated blue chip company paper (Invoices) and purchase orders. Our online platform assists SMB's to alleviate their cash flow constraints.Invoice Exchange offers the best way for you to monetise your invoices and finance your purchase orders'Manage your liquidity:Manage your companies balance sheet:Manage your risk:\n        "
"Irofit"," Finland"," Payments & Transfers"," www.irofit.com"," Omoniyi A. Olawale","https://www.linkedin.com/in/omoniyiolawale?authType=NAME_SEARCH&authToken=3WXu&locale=en_US&srchid=4553804831466171235757&srchindex=1&srchtotal=2&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A4553804831466171235757%2CVSRPtargetId%3A144209489%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3ANAME_SEARCH"," @IroFitHQ","Irofit \n \n        No Internet Needed\nOur patent-pending technology processes card transactions in REAL-TIME without an Internet connection: we employ universally available basic GSM connectivity. Thus, we vastly increase the coverage area where card payments are possible. The overall transaction success rates in areas with poor/no Internet connection increase from <50% to over 90%.\n\nSecure Payment\nOur technology is secure, exceeding the most stringent global standards. The card reader device is EMV 1&2 certified for secure mobile payments. Card data is encrypted end-to-end, and the reader does NOT store your card data. Our proprietary fraud detection system ensures that card payment is safe for you. \n\nBoost Sales\nWe consider ourselves partners with small business, helping them satisfy their customers and increase sales. When your customers are free to pay with their cards anywhere, anytime, they get an overall improved shopping experience and spend more. You also encourage spontaneous, unplanned purchases. Bottom line is: your sales go up. We also provide you with a suite of services to help you monitor, plan, and grow your business- such as sales tracking, integration with accounting platforms, and sales analytics.\n        "
"iVeri Payment Technologies"," South Africa"," Payments & Transfers"," http://www.iveri.com/"," Barry Coetzee",""," @iveri","iVeri Payment Technologies \n \n        iVeri is an experienced payment technology company serving financial institutions and banks in in over 10 countries. Established 19 years ago, the company now has a presence in Mauritius, South Africa, Kenya and Nigeria. iVeri’s Payment Gateway is a PCI certified omni-channel payment solution that supports multiple-channel card acceptance across PoS, eCommerce, Mobile, and Batched payments. By providing a local or certified SaaS solution, iVeri enables both established and new acquiring banks with a rapid, tried and tested solution, thus enabling them to own the last mile of payment acceptance.\n        "
"IWI Africa"," Uganda"," Payments & Transfers"," www.iwiafrica.com"," Allan Rwakatungu","https://www.linkedin.com/in/allan-rwakatungu-17ab73a"," @iwiafrica","IWI Africa \n \n        We are the rails of a new payment & eCommerce ecosystem for emerging markets. We provide developers and enterprises capabilities to transact with their customers using many payment methods from any device.\n\nAll enterprises MUST have a digital strategy to remain competitive. Digital is complex, especially in emerging markets where people use all kinds of devices from feature phones, smartphones, POS and PC. Furthermore, there are 1000’s of ways to transact including multiple mobile money deployments, cards, closed loop wallets, vouchers, bank accounts and many others. For your enterprise, this is a distraction from executing your core business. By using our platform, we remove all this complexity allowing your customers to choose whatever device and transaction mechanism they would like to use for transacting with you, while enabling you to concentrate on giving the customer maximum value\n        "
